outfit_id,gender,style,season,tags
64453,F,스트릿,가을,"스트릿,반팔티셔츠,가을"
68758,F,캐주얼,봄,"나이키,캐주얼,스니커즈,봄"
71478,F,캐주얼,여름,"셔츠,여름,레더스커트,워커,캐주얼"
71480,F,로맨틱,여름,"슬리브리스,트랙팬츠,숄더백,나이키,스니커즈,여름,로맨틱"
71482,M,스트릿,여름,"나이키,스트릿,데님팬츠,스니커즈,여름,베스트,비니,크로스백"
71483,F,걸리시,여름,"샌들,숄더백,여름,아디다스,피케이,반팔티셔츠,스커트,걸리시"
71485,M,스트릿,여름,"트랙팬츠,스트릿,스니커즈,여름,반팔셔츠"
71486,M,스트릿,여름,"데님팬츠,스트릿,스니커즈,여름,반팔티셔츠,비니,크로스백"
71487,M,캐주얼,여름,"슬랙스,타미힐피거,스니커즈,여름,반팔티셔츠,비니,캐주얼"
71488,F,캐주얼,여름,"나이키,스니커즈,여름,카고팬츠,스웨트셔츠,캐주얼,크로스백"
71491,M,스트릿,여름,"점프수트,스트릿,여름,워커,반팔티셔츠,닥터마틴,크로스백"
71494,F,캐주얼,여름,"숄더백,스니커즈,여름,치노팬츠,카디건,캐주얼"
71495,M,스트릿,여름,"데님팬츠,스트릿,여름,버킷햇,첼시부츠"
71497,M,스트릿,여름,"두건,긴소매티셔츠,스니커즈,데우스엑스마키나,데님팬츠,여름,스트릿"
71498,F,스트릿,여름,"스트릿,스니커즈,여름,치노팬츠,니트,크로스백"
71502,F,걸리시,여름,"숄더백,여름,로퍼,스커트,블라우스,걸리시"
71503,F,걸리시,여름,"걸리시,여름,블라우스,원피스,플랫슈즈"
71505,F,캐주얼,여름,"슬랙스,숄더백,여름,블라우스,워커,캐주얼"
71507,F,캐주얼,여름,"데님팬츠,스니커즈,여름,니트,버킷햇,캐주얼"
71509,M,스트릿,여름,"스트릿,여름,볼캡,반팔티셔츠,워커,플리츠"
71514,M,스트릿,여름,"셔츠,데님팬츠,여름,스니커즈,스트릿,하와이언"
71515,F,스트릿,여름,"스트릿,스니커즈,여름,치노팬츠,반팔티셔츠,비니"
71517,F,캐주얼,여름,"여름,스커트,캐주얼,웨스턴부츠,후드집업"
71518,M,스트릿,여름,"스트릿,스니커즈,여름,컨버스,조거팬츠,반팔티셔츠"
71520,M,스트릿,여름,"데님팬츠,스트릿,여름,뉴에라,반팔티셔츠,워커"
71521,M,캐주얼,여름,"여름,치노팬츠,워커,캐주얼,트러커"
71522,F,캐주얼,여름,"블레이저,크롭탑,여름,워커,캐주얼,크로스백"
71527,M,캐주얼,여름,"데님팬츠,여름,트러커재킷,워커,캐주얼"
71528,F,스트릿,여름,"블레이저,숄더백,나이키,데님팬츠,스니커즈,여름,스트릿"
71530,M,캐주얼,여름,"블레이저,데님팬츠,여름,캐주얼,첼시부츠"
71531,M,캐주얼,여름,"블레이저,데님팬츠,여름,니트,캐주얼,첼시부츠"
71532,F,캐주얼,여름,"숄더백,나이키,데님팬츠,시스루,스니커즈,여름,니트,캐주얼"
71533,M,스트릿,여름,"나이키,긴소매티셔츠,스니커즈,엠엠엘지,데님팬츠,여름,스트릿,베레"
71534,F,캐주얼,여름,"숄더백,여름,볼캡,워커,캐주얼,오버롤"
